id,program_id,title,speaker,duration_minutes,type,details,actual_duration,order,created_at
0346e352-3fac-47f7-99c3-8ccd2d9be33b,763f4b14-7587-43c7-a6a2-148d85c24295,Set Up Break,,5,BREAK,,,11,2026-02-24 23:29:01.046398+00
0419e296-247b-4c69-ae59-d5e16cc8359d,4e3b1012-0c6d-4d67-a7ea-b768ae18421f,Set 1 - Let all the other names fade away,,2,RECORDING,"I have made you too small in my eyes : 2 minutes
Let all the other names fade away : 2minutes 
I’m no longer a slave to fear
I hear the chains falling : 2minutes
The dawning of a new day : 2minutes
Oh oh oh oh oh : 2minutes
Komai na naka ne (I’m surrendered to you, my Jesus) : 2minutes
Oh oh  oh oh oh : 2minutes
Signing in tongue : 2minutes
My weapons are not carnal (2,4,5,6) : 2minutes
Call his name Jesus/Hosanna : 2minutes
I will call upon the Lord* : 2minutes",,2,2025-12-20 17:59:55.737213+00
055d3aa2-18fd-41c9-b007-9a654482cf3f,241b69d7-3f8e-476e-a8e4-de537f3b3b0b,1st Timers Welcome / Announcement,Choir,5,TALK,TO GOD TO THE GLORY,,7,2026-02-23 23:07:44.577075+00
06e47748-07a0-40be-b3ca-5bf5a599bd38,2bb738e8-1625-4573-b229-163577715396,Welcome/Call To Worship,Pastor,4,TALK,Psalms 150:1-6,2,2,2025-12-17 13:44:32.81145+00
097f5d3a-a980-4d69-accd-a9cc103a9314,2bb738e8-1625-4573-b229-163577715396,Congr. Hymn,Choir,4,TALK,TO GOD TO THE GLORY,0,3,2025-12-17 13:44:32.81145+00
09e03e7b-7c3f-4173-bcc2-784aaf961c59,4e3b1012-0c6d-4d67-a7ea-b768ae18421f,Set 1 - The dawning of a new day,,2,RECORDING,"I have made you too small in my eyes : 2 minutes
Let all the other names fade away : 2minutes 
I’m no longer a slave to fear
I hear the chains falling : 2minutes
The dawning of a new day : 2minutes
Oh oh oh oh oh : 2minutes
Komai na naka ne (I’m surrendered to you, my Jesus) : 2minutes
Oh oh  oh oh oh : 2minutes
Signing in tongue : 2minutes
My weapons are not carnal (2,4,5,6) : 2minutes
Call his name Jesus/Hosanna : 2minutes
I will call upon the Lord* : 2minutes",,5,2025-12-20 17:59:55.737213+00
0a987172-8e7f-4ed6-890b-1b6fad94ca08,4e3b1012-0c6d-4d67-a7ea-b768ae18421f,Set 1 - I hear the chains falling,,2,RECORDING,"I have made you too small in my eyes : 2 minutes
Let all the other names fade away : 2minutes 
I’m no longer a slave to fear
I hear the chains falling : 2minutes
The dawning of a new day : 2minutes
Oh oh oh oh oh : 2minutes
Komai na naka ne (I’m surrendered to you, my Jesus) : 2minutes
Oh oh  oh oh oh : 2minutes
Signing in tongue : 2minutes
My weapons are not carnal (2,4,5,6) : 2minutes
Call his name Jesus/Hosanna : 2minutes
I will call upon the Lord* : 2minutes",,4,2025-12-20 17:59:55.737213+00
0bd02c17-80af-43d7-a87f-dfff83f1b67e,061b2cdd-4c3d-47dc-99f5-d3237819dceb,Ministration/Special High Praise Ministration,,8,TALK,,8,5,2026-02-23 23:06:19.195111+00
0d9429fe-5871-4b4b-9a43-79ad46662741,763f4b14-7587-43c7-a6a2-148d85c24295,Refreshments/ Set down,,10,SET DOWN,,,18,2026-02-24 23:29:01.046398+00
0e87b4ea-fdf1-4aef-91f0-9582a3f56968,b7640061-ae33-4b3c-bfdd-2c04d74ef6d0,Ministration 8,Children’s Church,7,MINISTER,,0,15,2025-12-20 15:00:32.933665+00
